City,Total_Sales,Total_Profit,Number_of_Orders,Total_Quantity
Delhi,176717195.72006842,24006081.1333,1360,4135.0
Pune,173327757.41776088,23617121.363366667,1309,3915.0
Hyderabad,169046549.97913253,23312156.843666665,1319,3992.0
Bhubaneswar,167968144.57695782,22809534.085633334,1290,3894.0
Cuttack,166967102.7731448,22944941.09473333,1260,3795.0
Lucknow,164995691.06541914,22488982.08153333,1252,3744.0
Bangalore,164522306.33488378,23034778.242033333,1293,3942.0
Visakhapatnam,162483182.2590309,22651091.78336889,1293,3849.0
Chennai,162324864.62630874,22472421.84563333,1271,3845.0
Kolkata,160901953.43023548,22213698.7467,1299,3870.0
Mumbai,158920177.63829628,22032179.3028,1233,3695.0
Patna,157712699.2313052,22222409.9671,1237,3788.0
Jaipur,153016380.3449844,21279571.612833332,1221,3666.0
Bhopal,151126164.90448323,20998680.336866666,1184,3580.0
Ahmedabad,149971914.0115065,20974715.330566667,1179,3505.0
