,Year,Month,Total_Sales,Total_Profit,Number_of_Orders,Period
0,2022,1,58107688.06548556,8062109.543533334,436,2022-01
1,2022,2,50637053.45565261,6978386.174833333,371,2022-02
2,2022,3,50175274.66568582,6858706.228566666,399,2022-03
3,2022,4,49523455.50628862,7136356.131466666,402,2022-04
4,2022,5,55183724.22963268,7677176.833633333,431,2022-05
5,2022,6,47662025.23284291,6311324.952866667,366,2022-06
6,2022,7,50642185.46822783,6975322.255966667,399,2022-07
7,2022,8,56868242.83076985,7871397.771733333,425,2022-08
8,2022,9,44544908.7,6328065.6333,362,2022-09
9,2022,10,45776525.7959203,6267579.8363333335,374,2022-10
10,2022,11,48140697.4865553,6637379.557766667,377,2022-11
11,2022,12,53595506.71695683,7486043.166666667,394,2022-12
12,2023,1,51449607.975786455,7143049.993666667,398,2023-01
13,2023,2,40752706.92983295,5707235.379433333,304,2023-02
14,2023,3,46760504.70341149,6271912.2697,382,2023-03
15,2023,4,52775888.914482236,7211522.704899999,393,2023-04
16,2023,5,54000538.55408071,7449935.6962,434,2023-05
17,2023,6,51371640.10568582,7064502.835633333,394,2023-06
18,2023,7,50735325.26183959,7115774.501166667,391,2023-07
19,2023,8,49467296.16,6800620.360266667,415,2023-08
20,2023,9,50874383.03996679,6953250.7276,364,2023-09
21,2023,10,52930458.53802757,7033465.6106,411,2023-10
22,2023,11,51381320.53996679,6878115.058,410,2023-11
23,2023,12,45560277.20852873,6476939.597166667,366,2023-12
24,2024,1,51152906.28321123,6985274.6243,408,2024-01
25,2024,2,47094812.497458994,6487295.2924,392,2024-02
26,2024,3,54191195.47237597,7447927.740633333,424,2024-03
27,2024,4,45357166.38638825,6145683.081166667,374,2024-04
28,2024,5,54343719.09953306,7601486.3601,438,2024-05
29,2024,6,48340273.18194022,6582751.621233334,374,2024-06
30,2024,7,48656756.89939821,6855233.8958,404,2024-07
31,2024,8,50942465.05739157,7034149.336833334,406,2024-08
32,2024,9,50788613.786789775,7109258.192033333,388,2024-09
33,2024,10,54957667.65996679,7398214.397899999,407,2024-10
34,2024,11,46499132.98170575,6490045.548566666,372,2024-11
35,2024,12,50036525.43889705,6883413.124,421,2024-12
36,2025,1,49758977.55632183,6581082.788366667,388,2025-01
37,2025,2,47094216.90080306,6664248.993,367,2025-02
38,2025,3,49929389.44454866,6786514.193466666,368,2025-03
39,2025,4,53536591.45170575,7276647.251733333,422,2025-04
40,2025,5,53698855.35440173,7406445.923033333,395,2025-05
41,2025,6,54121055.349966794,7619284.751966666,405,2025-06
42,2025,7,58809618.67264265,7943430.925733333,442,2025-07
43,2025,8,53428622.37635504,7658145.3067,416,2025-08
44,2025,9,53401327.55568582,7445198.467466666,405,2025-09
45,2025,10,53047834.01508403,7239758.486902222,395,2025-10
46,2025,11,50080680.501371644,7243399.8818,385,2025-11
47,2025,12,51816444.30394687,7477300.764,406,2025-12
