Product,Total_Sales,Total_Profit,Total_Quantity,Number_of_Orders,Average_Discount
Smart Watch,136597724.2999678,18635095.90876667,3203.0,1070,14.756074766355141
USB Cable,130314464.60822783,17761505.060333334,2980.0,1001,14.68131868131868
Webcam,128531116.7112388,17933776.743235555,3008.0,1003,15.220338983050848
Headphones,126463928.16130522,17101585.158633333,2849.0,933,15.060021436227224
Gaming Chair,125063841.30173996,17670861.521333333,2941.0,965,15.055958549222797
Power Bank,123627485.20565261,16875651.041766666,2885.0,959,14.81230448383733
Printer,123551435.55802757,17349865.14183333,2822.0,944,14.959745762711865
Earbuds,123543012.32642247,17020766.129766665,2841.0,930,14.647311827956988
Bluetooth Speaker,122012688.64241019,16623997.855233334,2855.0,959,14.895724713242961
SSD,121216570.70324545,16929086.4032,2910.0,949,14.67650158061117
Camera,120346132.85725772,16572403.281766666,2719.0,899,15.149054505005562
External Hard Drive,120191630.5321747,16526770.522566665,2926.0,977,14.697031729785056
Router,120078773.69481634,16017769.281766666,2827.0,932,14.950643776824034
Monitor,119442093.20053639,16818994.3502,2865.0,951,15.711882229232387
Keyboard,118026751.82745999,16594465.543566667,2805.0,950,14.823157894736843
Tablet,117766940.77256314,16511580.726066666,2760.0,920,14.866304347826087
Mouse,117503212.79538593,16041611.528766667,2723.0,895,15.12290502793296
Smartphone,117233769.06555298,16128142.678833332,2849.0,941,15.1211477151966
Laptop,114813391.79625541,15929768.206166666,2770.0,921,14.678610206297503
Backpack,113230796.45327765,15915769.796333333,2671.0,899,15.273637374860957
Unknown,446323.8,98896.89,6.0,2,20.0
