State,Total_Sales,Total_Profit,Number_of_Orders
Odisha,338487493.6501026,46285474.70673333,2581
Maharashtra,323163925.50605714,44353243.1224,2471
Delhi,170028076.72006842,22996872.433866665,1302
Uttar Pradesh,167568205.71541914,22859618.736899998,1274
Tamil Nadu,164746558.22630873,22824109.899033334,1293
Telangana,164586730.77913254,22700681.725633334,1279
Andhra Pradesh,164448030.8590309,22918115.68326889,1309
West Bengal,162634780.93023548,22472500.0667,1312
Karnataka,161359670.83488378,22584810.50473333,1274
Bihar,161310646.43130523,22753895.6006,1260
Rajasthan,155530472.6949844,21638407.602833334,1243
Madhya Pradesh,154363749.25448325,21494132.576866668,1207
Gujarat,151773742.7115065,21176501.11056667,1195
